naics,hkr05htlvl,oes12htlvl,oes14htlvl
1131,Level II,,
1132,Level II,,
2111,Level II,Level I,Level II
2122,,,Level III
2211,Level II,Level III,Level II
3241,Level III,Level III,Level III
3251,Level II,Level II,Level II
3252,Level II,Level III,Level III
3253,Level III,,
3254,Level I,Level II,Level II
3255,Level III,,
3259,Level III,,
3332,Level II,Level II,Level II
3333,Level II,Level II,Level II
3336,Level III,Level III,Level II
3339,Level III,Level III,Level III
3341,Level I,Level I,Level I
3342,Level I,Level I,Level I
3343,Level II,Level III,Level II
3344,Level I,Level I,Level I
3345,Level I,Level I,Level I
3346,Level II,Level III,Level II
3353,Level III,Level III,Level III
3359,,Level III,Level III
3364,Level I,Level I,Level I
3365,,Level III,
3369,Level III,,
4234,Level II,Level II,Level III
4861,Level III,Level III,Level II
4862,Level III,Level III,
4869,Level III,,
5112,Level I,Level I,Level I
5161,Level I,,
5171,Level III,Level II,Level II
5172,Level III,Level II,Level II
5173,Level III,,
5174,Level III,Level II,Level II
5179,Level I,Level II,Level II
5181,Level I,,
5182,Level I,Level I,Level I
5191,,Level II,Level I
5211,Level III,Level II,Level II
5232,Level III,Level III,
5241,,Level III,Level III
5413,Level I,Level I,Level I
5415,Level I,Level I,Level I
5416,Level II,Level II,Level II
5417,Level I,Level I,Level I
5511,Level III,Level III,Level III
5612,Level III,,
8112,Level III,,
9999,Level II,,
